,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble Not Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
28,OAK,BAL,27.0,15,2.0,1.0,0.0,0.0,26.0,1.0,44.0,92.0,1.0,7.0,5.0,2.0,7.0,0.0,7.0,4.0,1.0,62.0
29,PHI,DAL,21.0,6,2.0,2.0,1.0,0.0,26.0,9.0,50.0,75.0,4.0,3.0,2.0,0.0,2.0,0.0,3.0,13.0,3.0,48.0
30,GB,SEA,18.0,7,1.0,2.0,1.0,0.0,12.0,8.0,54.0,68.0,4.0,4.0,4.0,0.0,3.0,1.0,5.0,8.0,3.0,44.0
31,IND,NYJ,24.0,5,4.0,2.0,1.0,0.0,19.0,6.0,51.0,72.0,1.0,3.0,3.0,0.0,3.0,0.0,4.0,8.0,3.0,43.0
32,NYG,WAS,26.0,7,2.0,2.0,1.0,1.0,15.0,2.0,51.0,83.0,1.0,5.0,3.0,1.0,4.0,1.0,5.0,6.0,3.0,53.0
33,DAL,ATL,15.0,9,1.0,0.0,0.0,0.0,11.0,6.0,53.0,66.0,3.0,9.0,2.0,7.0,8.0,1.0,1.0,8.0,0.0,46.0
34,TEN,IND,25.0,12,4.0,1.0,0.0,0.0,17.0,6.0,51.0,80.0,6.0,9.0,4.0,4.0,7.0,1.0,2.0,10.0,1.0,45.0
35,CLE,OAK,32.0,9,1.0,2.0,1.0,0.0,18.0,5.0,44.0,86.0,5.0,5.0,4.0,1.0,5.0,0.0,4.0,8.0,3.0,48.0
36,BAL,CIN,27.0,9,2.0,2.0,0.0,0.0,22.0,6.0,49.0,84.0,2.0,7.0,5.0,1.0,6.0,0.0,2.0,7.0,2.0,53.0
37,NE,JAC,24.0,11,1.0,1.0,0.0,0.0,11.0,1.0,52.0,79.0,4.0,8.0,4.0,4.0,8.0,0.0,4.0,4.0,1.0,50.0
38,CAR,NO,17.0,7,1.0,1.0,0.0,0.0,18.0,4.0,54.0,72.0,2.0,6.0,2.0,3.0,4.0,1.0,3.0,6.0,1.0,51.0
39,NYJ,PHI,34.0,3,3.0,3.0,0.0,0.0,11.0,9.0,55.0,88.0,2.0,5.0,3.0,1.0,4.0,0.0,2.0,17.0,3.0,49.0
40,HOU,TB,32.0,6,2.0,1.0,3.0,0.0,16.0,12.0,66.0,76.0,1.0,3.0,2.0,1.0,3.0,0.0,7.0,13.0,4.0,41.0
41,MIN,LAC,23.0,7,2.0,1.0,0.0,0.0,10.0,5.0,59.0,68.0,4.0,6.0,2.0,3.0,5.0,0.0,1.0,10.0,1.0,39.0
42,LA,PIT,13.0,4,2.0,1.0,0.0,0.0,11.0,8.0,40.0,67.0,7.0,1.0,0.0,1.0,0.0,1.0,4.0,8.0,1.0,44.0
43,ARI,SF,17.0,7,5.0,2.0,1.0,1.0,10.0,9.0,66.0,54.0,3.0,7.0,2.0,3.0,5.0,0.0,1.0,10.0,3.0,29.0
44,MIA,BUF,28.0,6,3.0,1.0,0.0,0.0,11.0,8.0,54.0,81.0,2.0,7.0,5.0,1.0,5.0,1.0,3.0,7.0,1.0,47.0
45,SEA,CHI,18.0,6,0.0,0.0,0.0,0.0,11.0,4.0,56.0,53.0,6.0,2.0,1.0,0.0,2.0,0.0,4.0,14.0,0.0,29.0
46,DET,DEN,22.0,9,3.0,2.0,0.0,0.0,18.0,4.0,39.0,92.0,5.0,5.0,3.0,2.0,4.0,1.0,1.0,10.0,2.0,62.0
47,GB,KC,26.0,5,1.0,2.0,0.0,0.0,19.0,7.0,50.0,85.0,8.0,9.0,6.0,3.0,7.0,2.0,1.0,11.0,2.0,48.0
48,PIT,BAL,19.0,8,1.0,1.0,4.0,0.0,8.0,6.0,72.0,69.0,9.0,4.0,2.0,2.0,4.0,0.0,7.0,10.0,5.0,40.0
49,MIA,NYJ,35.0,3,3.0,1.0,0.0,0.0,23.0,5.0,54.0,76.0,3.0,5.0,3.0,2.0,5.0,0.0,3.0,12.0,1.0,35.0
50,IND,JAC,39.0,7,0.0,4.0,2.0,0.0,17.0,6.0,52.0,101.0,4.0,2.0,2.0,0.0,2.0,0.0,7.0,14.0,6.0,58.0
51,BUF,NYG,27.0,3,2.0,1.0,2.0,0.0,28.0,8.0,53.0,80.0,3.0,4.0,4.0,0.0,3.0,1.0,3.0,15.0,3.0,48.0
52,TB,CAR,24.0,9,4.0,1.0,2.0,0.0,9.0,5.0,63.0,69.0,4.0,7.0,4.0,1.0,6.0,0.0,6.0,6.0,3.0,37.0
53,WAS,PHI,28.0,11,0.0,1.0,3.0,0.0,18.0,5.0,50.0,80.0,6.0,5.0,4.0,1.0,5.0,0.0,4.0,11.0,4.0,46.0
54,CHI,OAK,26.0,6,2.0,2.0,2.0,0.0,12.0,3.0,51.0,81.0,5.0,4.0,4.0,0.0,4.0,0.0,5.0,8.0,4.0,48.0
55,ATL,HOU,35.0,6,1.0,2.0,1.0,0.0,15.0,5.0,52.0,87.0,3.0,10.0,3.0,5.0,8.0,0.0,1.0,10.0,3.0,48.0
56,CIN,KC,21.0,4,0.0,1.0,1.0,0.0,18.0,3.0,50.0,74.0,5.0,5.0,1.0,4.0,4.0,1.0,8.0,4.0,2.0,48.0
57,LAC,CLE,24.0,5,0.0,1.0,0.0,0.0,18.0,4.0,42.0,86.0,6.0,5.0,5.0,0.0,4.0,1.0,7.0,9.0,1.0,55.0
58,SF,GB,21.0,5,1.0,1.0,2.0,0.0,12.0,3.0,52.0,66.0,9.0,2.0,1.0,1.0,2.0,0.0,3.0,12.0,3.0,35.0
59,ARI,LA,24.0,7,1.0,4.0,0.0,0.0,10.0,11.0,47.0,75.0,5.0,4.0,4.0,0.0,4.0,0.0,6.0,8.0,4.0,45.0
60,DEN,MIN,22.0,7,2.0,3.0,0.0,0.0,17.0,6.0,45.0,77.0,9.0,4.0,2.0,2.0,4.0,0.0,6.0,8.0,3.0,44.0
61,NO,DAL,18.0,8,0.0,0.0,0.0,0.0,14.0,7.0,53.0,73.0,6.0,5.0,3.0,2.0,4.0,0.0,5.0,9.0,0.0,49.0
62,SEA,DET,17.0,4,0.0,3.0,3.0,0.0,8.0,6.0,49.0,67.0,6.0,2.0,1.0,0.0,1.0,0.0,3.0,12.0,6.0,44.0
63,HOU,IND,19.0,9,2.0,0.0,0.0,0.0,20.0,6.0,58.0,71.0,1.0,5.0,4.0,1.0,5.0,0.0,4.0,6.0,0.0,49.0
64,KC,CHI,33.0,8,0.0,1.0,1.0,0.0,9.0,3.0,51.0,82.0,5.0,4.0,3.0,0.0,1.0,2.0,5.0,12.0,2.0,42.0
65,CIN,SEA,20.0,6,2.0,1.0,0.0,0.0,17.0,4.0,61.0,75.0,8.0,6.0,3.0,2.0,5.0,0.0,3.0,14.0,1.0,45.0
66,ATL,WAS,25.0,8,4.0,4.0,0.0,0.0,9.0,4.0,56.0,80.0,4.0,5.0,1.0,2.0,2.0,2.0,7.0,5.0,4.0,45.0
67,TB,JAC,15.0,9,1.0,1.0,0.0,0.0,13.0,9.0,57.0,60.0,8.0,8.0,5.0,2.0,7.0,0.0,4.0,7.0,1.0,36.0
68,PHI,NO,27.0,10,3.0,3.0,0.0,0.0,11.0,4.0,55.0,93.0,5.0,6.0,4.0,2.0,6.0,0.0,5.0,7.0,3.0,58.0
69,BAL,CLE,31.0,6,0.0,0.0,0.0,0.0,21.0,8.0,56.0,94.0,5.0,7.0,3.0,4.0,4.0,3.0,6.0,11.0,0.0,55.0
70,GB,LA,24.0,11,6.0,2.0,0.0,0.0,15.0,2.0,63.0,66.0,5.0,4.0,3.0,0.0,3.0,0.0,5.0,8.0,2.0,31.0
71,TEN,BUF,17.0,4,1.0,2.0,0.0,0.0,16.0,4.0,56.0,56.0,6.0,3.0,1.0,2.0,3.0,0.0,2.0,13.0,2.0,32.0
72,DET,ARI,31.0,6,4.0,3.0,0.0,0.0,18.0,6.0,43.0,91.0,3.0,8.0,5.0,3.0,8.0,0.0,1.0,10.0,3.0,53.0
73,DAL,NE,19.0,9,1.0,2.0,0.0,0.0,16.0,2.0,47.0,74.0,8.0,3.0,2.0,1.0,3.0,0.0,5.0,10.0,2.0,46.0
74,OAK,DEN,23.0,5,3.0,3.0,0.0,0.0,12.0,4.0,43.0,80.0,6.0,2.0,1.0,0.0,1.0,0.0,6.0,10.0,3.0,48.0
75,NYG,SF,24.0,10,1.0,2.0,0.0,0.0,10.0,7.0,48.0,91.0,2.0,6.0,5.0,1.0,6.0,0.0,5.0,5.0,2.0,64.0
76,LAC,PIT,24.0,7,2.0,1.0,0.0,0.0,15.0,5.0,46.0,79.0,5.0,5.0,3.0,1.0,4.0,0.0,4.0,13.0,1.0,48.0
77,NO,ATL,23.0,9,0.0,3.0,2.0,0.0,10.0,3.0,53.0,89.0,6.0,7.0,3.0,3.0,6.0,0.0,3.0,8.0,5.0,60.0
78,NYJ,WAS,23.0,3,3.0,2.0,0.0,0.0,4.0,11.0,58.0,71.0,1.0,6.0,3.0,2.0,5.0,0.0,5.0,8.0,2.0,44.0
79,PIT,ARI,23.0,4,2.0,1.0,2.0,0.0,15.0,11.0,52.0,68.0,2.0,3.0,3.0,0.0,2.0,1.0,7.0,8.0,3.0,40.0
80,MIN,KC,27.0,5,2.0,2.0,0.0,0.0,13.0,7.0,53.0,72.0,4.0,2.0,2.0,0.0,2.0,0.0,4.0,10.0,2.0,39.0
81,BUF,CIN,24.0,3,1.0,0.0,1.0,0.0,11.0,3.0,51.0,77.0,2.0,7.0,4.0,3.0,7.0,0.0,2.0,8.0,1.0,50.0
82,DET,CHI,28.0,12,2.0,1.0,2.0,0.0,19.0,5.0,63.0,87.0,3.0,7.0,5.0,2.0,6.0,1.0,7.0,9.0,3.0,53.0
